ID,Status,Source,Auto,Direction,Coin,Symbol,Rank,Market Cap,Price,SL Price,TP Price,Exit Price,PnL %,Ambiguous,Score,ADX 1H,ADX 15M,ADX 5M,RSI,ATR %,Vol Ratio,Margin %,Logged At (PKT),Closed At (PKT),BTC Dominance,ETH Dominance,USDT Dominance,ETH/BTC Ratio,Total Market Cap,TOTAL2 (ex-BTC),TOTAL3 (ex-BTC & ETH),List Breadth vs BTC (24h)
t1790016986699_144ec6,pending,Claude,Yes,long,Bonk,BONK,149,299038964,3.39e-06,3.350676e-06,3.429324e-06,,,,100,40.078063939258996,17.92821201174063,19.366397232320388,64.18211447595479,0.7957385460124021,3.1422960932430524,5.469838244746135,"21 Sep 2026, 23:56:26",,57.20477369899699,11.130163073496485,6.071431277784964,0.03202555190011741,3020193372705,1292498588577,956346141060,34% (27/80)
t1789998733214_4c5a4c,sl,Claude,Yes,long,Injective,INJ,88,794329448,7.981,7.888420399999999,8.0735796,7.888420399999999,-1.16,,100,15.017987438773647,18.2904616205033,18.56120673114154,64.92618350978844,0.6669661317287311,3.114855222977295,2.945836830734608,"21 Sep 2026, 18:52:13","21 Sep 2026, 19:05:59",57.11138883305695,11.097828267561463,6.106327605388693,0.03197318299558129,3002222845319,1287611682494,954430146911,69% (55/80)
t1789998733214_5a6384,sl,Me,Yes,long,Sui,SUI,30,4281601136,1.049,1.0368316,1.0611684,1.0368316,-1.16,,68,54.74372223949085,46.705886627920435,28.831175971666983,61.66029868462185,0.9345772595870802,1.2203838607061854,9.842615709189971,"21 Sep 2026, 18:52:13","21 Sep 2026, 18:58:59",57.11138883305695,11.097828267561463,6.106327605388693,0.03197318299558129,3002222845319,1287611682494,954430146911,69% (55/80)
t1789974116619_8a0fca,tp,Claude,Yes,long,Bitcoin Cash,BCH,23,5123440071,255.8,252.83272,258.76728,258.76728,1.16,,100,19.782825405471133,10.233004197050677,8.956293905194578,55.025652739074964,0.3160790154091019,2.6933242058497986,1.2864339304617896,"21 Sep 2026, 12:01:56","21 Sep 2026, 13:38:59",56.47849974957132,11.19602772522424,6.315112331882579,0.032619811829274266,2903165361262,1263501119972,938461921216,76% (61/80)
t1789974116619_49f2ff,sl,Combined,Yes,long,Worldcoin,WLD,58,1649197489,0.4521,0.44685564,0.45734436,0.44685564,-1.16,,80,20.106401935645803,20.54592741083955,36.66928456722051,64.4696569121311,0.6381915026895083,0.6785869971176026,3.40946110092363,"21 Sep 2026, 12:01:56","21 Sep 2026, 12:31:59",56.47849974957132,11.19602772522424,6.315112331882579,0.032619811829274266,2903165361262,1263501119972,938461921216,76% (61/80)
t1789954520223_c711dc,sl,Me,Yes,long,NEAR Protocol,NEAR,22,5442314437,4.193,4.1443612,4.2416388,4.1443612,-1.16,,40,45.64328028853533,29.812676088793904,25.065050291809808,44.259812622923945,1.1915163632360053,0.6032493551819467,4.983192091383575,"21 Sep 2026, 06:35:20","21 Sep 2026, 06:47:59",56.48953459740839,11.167209647448088,6.353519484695519,0.032532225864491164,2885483600477,1255487343683,933259340675,59% (47/80)
t1789954520223_220fd9,sl,Combined,Yes,long,ether.fi,ETHFI,94,699853948,0.7422,0.7335904799999999,0.75080952,0.7335904799999999,-1.16,,87,23.50692189208817,27.089028412971157,32.918757648447375,57.32772139692982,0.6651508346067744,1.683303319991034,3.581275387808603,"21 Sep 2026, 06:35:20","21 Sep 2026, 06:51:59",56.48953459740839,11.167209647448088,6.353519484695519,0.032532225864491164,2885483600477,1255487343683,933259340675,59% (47/80)
t1789947429294_6fe2a2,tp,Me,Yes,long,BNB,BNB,4,102922189597,773.12,764.151808,782.088192,782.088192,1.16,,54,30.24166746495472,38.24367051032793,29.619659116942977,53.778290274231566,0.2426581404249535,0.5205219409754188,1.643105367418702,"21 Sep 2026, 04:37:09","21 Sep 2026, 05:48:59",56.48953459740839,11.167209647448088,6.353519484695519,0.032532225864491164,2885483600477,1255487343683,933259340675,59% (47/80)
t1789947429294_79cb1d,tp,Combined,Yes,long,Jupiter,JUP,78,980846067,0.2991,0.29563043999999994,0.30256956,0.30256956,1.16,,88,24.748186384854655,40.98828676932397,37.53454937636615,74.40382703684708,0.727214991247945,2.709161761288585,8.72611622804385,"21 Sep 2026, 04:37:09","21 Sep 2026, 05:19:59",56.48953459740839,11.167209647448088,6.353519484695519,0.032532225864491164,2885483600477,1255487343683,933259340675,59% (47/80)
t1789941246885_ccb261,tp,Claude,Yes,long,Hedera,HBAR,30,3782539179,0.08645,0.08544718,0.08745282,0.08745282,1.16,,90,34.845976869209316,20.684478876750127,23.640727662576744,62.60541243780614,0.4997042561165014,2.574065119158339,1.7724548036638688,"21 Sep 2026, 02:54:06","21 Sep 2026, 05:07:59",56.51572773911243,11.145898661007712,6.376541647573365,0.03246285629527082,2875001315686,1250173399617,929728666468,62% (50/80)
t1789941246885_800c03,tp,Me,Yes,long,Ethena,ENA,44,2192010859,0.2178,0.21527351999999997,0.22032648000000002,0.22032648000000002,1.16,,43,40.40240441918418,26.642547277692444,26.632523015106567,47.606400739607466,0.9050922255022232,0.5495761501673901,4.329614504594254,"21 Sep 2026, 02:54:06","21 Sep 2026, 03:07:59",56.51572773911243,11.145898661007712,6.376541647573365,0.03246285629527082,2875001315686,1250173399617,929728666468,62% (50/80)
t1789941246885_a98b12,tp,Combined,Yes,long,Sei,SEI,128,362487726,0.05359,0.052968355999999994,0.054211644,0.054211644,1.16,,82,31.099754024869647,54.60630177925878,27.049945120718508,68.58215292986425,1.0064853826161462,1.2556269959206883,10.18016742699363,"21 Sep 2026, 02:54:06","21 Sep 2026, 03:07:59",56.51572773911243,11.145898661007712,6.376541647573365,0.03246285629527082,2875001315686,1250173399617,929728666468,62% (50/80)
t1789933712593_bc1e88,sl,Claude,Yes,long,Dogecoin,DOGE,12,13642001978,0.08754,0.086524536,0.08855546400000001,0.086524536,-1.16,,100,26.987608425958292,33.82860254561247,16.04037513388899,62.00190170905554,0.3022184620412181,2.1415665683409033,2.6438645259423486,"21 Sep 2026, 00:48:32","21 Sep 2026, 02:03:59",56.55418810229476,11.14648670591745,6.35492952000339,0.032435463420038654,2884902140172,1253369157252,931803923719,46% (37/80)
t1789933712593_b0fa4e,sl,Combined,Yes,long,Dash,DASH,92,741304142,57.73,57.060331999999995,58.399668,57.060331999999995,-1.16,,88,45.739373522427805,35.058093021630725,36.78495825976842,71.99982425229594,0.5127334624837161,3.3580636642973802,3.5865141568388057,"21 Sep 2026, 00:48:32","21 Sep 2026, 01:50:59",56.55418810229476,11.14648670591745,6.35492952000339,0.032435463420038654,2884902140172,1253369157252,931803923719,46% (37/80)
t1789926439716_acb6da,tp,Combined,Yes,long,Pump.fun,PUMP,52,1947409522,0.004174,0.0041255816,0.0042224184,0.0042224184,1.16,,80,18.013516558021177,28.41276166941761,35.22195031306004,61.30779547881767,0.6493819895917857,0.4735717383616602,3.4924321268077354,"20 Sep 2026, 22:47:19","21 Sep 2026, 00:36:59",56.63260856099625,11.140571953960597,6.354190632106538,0.032376702561833115,2885279961867,1251270655174,929833964949,50% (40/80)
t1789916133646_1a5260,tp,Claude,Yes,long,Ethereum,ETH,2,315291494606,2587.03,2557.020452,2617.039548,2617.039548,1.16,,93,35.703433042659476,17.538722265022106,13.330669524610244,60.999289125867335,0.14501056497710121,3.606838684720362,0.04889246884756356,"20 Sep 2026, 19:55:33","20 Sep 2026, 21:08:59",56.764170038601634,11.051174179391495,6.425443890003652,0.032037907637346964,2853013530399,1233524078779,918232584173,25% (20/80)
t1789916133646_558955,sl,Combined,Yes,long,Algorand,ALGO,76,992594922,0.1104,0.10911936,0.11168064,0.10911936,-1.16,,80,27.909696944373614,29.81559364172168,37.09640430051072,76.11537565788649,0.8924934171846042,2.332965160364219,7.679114587339432,"20 Sep 2026, 19:55:33","20 Sep 2026, 19:56:59",56.764170038601634,11.051174179391495,6.425443890003652,0.032037907637346964,2853013530399,1233524078779,918232584173,25% (20/80)
t1789905104463_9d118c,tp,Claude,Yes,long,Ethena,ENA,46,2089173742,0.2081,0.20568604,0.21051396000000003,0.21051396000000003,1.16,,94,43.282873052664414,16.498951509632562,23.93912405702746,65.47429646127434,0.9402676050049719,2.551615796257791,4.799600994623664,"20 Sep 2026, 16:51:44","20 Sep 2026, 17:06:59",56.74133254414829,11.041402706912788,6.436414522187572,0.03202180561426191,2847618587339,1231841855108,917424819323,26% (21/80)
t1789905104463_d96ff3,tp,Me,Yes,long,Avalanche,AVAX,26,4481478366,10.191,10.0727844,10.309215600000002,10.309215600000002,1.16,,80,51.106533109879265,19.735795339118933,34.10048647676887,81.47889114007958,0.6457189441294039,2.4401809332449433,5.045864503124396,"20 Sep 2026, 16:51:44","20 Sep 2026, 16:54:59",56.74133254414829,11.041402706912788,6.436414522187572,0.03202180561426191,2847618587339,1231841855108,917424819323,26% (21/80)
t1789905104463_635483,sl,Combined,Yes,long,NEAR Protocol,NEAR,24,4762966591,3.625,3.58295,3.66705,3.58295,-1.16,,88,22.822820332294125,25.697280528948564,31.595820423935184,70.57712610542188,0.7195933871975242,5.684584457817449,3.416992802126685,"20 Sep 2026, 16:51:44","20 Sep 2026, 17:23:59",56.74133254414829,11.041402706912788,6.436414522187572,0.03202180561426191,2847618587339,1231841855108,917424819323,26% (21/80)
